1 9162
2 26683
3 9113
4 8518
5 21743
6 20209
7 23653
8 8513
9 22337
10 15609
11 20346
12 43338
13 25644
14 20378
15 18123
16 9076
17 18923
18 18166
19 18697
20 63500
21 20149
22 8809
23 9046
24 18033
25 76400
26 8433
27 26651
28 4537
29 8983
30 8869
31 9160
32 19030
33 22041
34 9199
35 8553
36 24303
37 19047
38 26732
39 11233
40 21081
41 27337
42 18894
43 8938
44 9127
45 17301
46 18167
47 22540
48 25509
49 17834
50 24351
51 34574
52 8333
53 23331
54 9126
55 52754
56 9047
57 9164
58 21070
59 18687
60 17337
61 8653
62 18576
63 31114
64 11180
65 22365
66 18540
67 4874
68 18122
69 18689
70 23455
71 9023
72 18028
73 9028
74 8916
75 21985
76 9248
77 20380
78 34514
79 17334
80 18920
81 18086
82 21941
83 18657
84 28431
85 22029
86 21693
87 18360
88 21973
89 25154
90 28433
91 8846
92 22183
93 21347
94 8316
95 18688
96 9197
97 50426
98 11320
99 21749
100 35665
101 9182
102 18656
103 9166
104 8413
105 19254
106 47980
107 8633
108 8939
109 9128
110 8998
111 8389
112 21858
113 35770
114 17963
115 23411
116 9142
117 8360
118 9109
119 20636
120 39831
121 27034
122 8745
123 8460
124 8315
125 17507
