88	51	6
51	88	6
29	51	6
51	29	6
65	18	17
18	65	17
65	101	7
101	65	7
2	47	9
47	2	9
2	1	14
1	2	14
44	48	13
48	44	13
44	49	19
49	44	19
52	28	6
28	52	6
62	21	9
21	62	9
62	95	9
95	62	9
16	39	7
39	16	7
16	40	13
40	16	13
83	17	7
17	83	7
83	110	8
110	83	8
74	40	6
40	74	6
35	31	6
31	35	6
113	37	7
37	113	7
46	56	6
56	46	6
114	42	11
42	114	11
70	9	6
9	70	6
70	103	9
103	70	9
14	15	7
15	14	7
37	113	6
113	37	6
37	1	18
1	37	18
37	47	7
47	37	7
105	116	6
116	105	6
105	59	17
59	105	17
108	50	9
50	108	9
8	47	10
47	8	10
98	11	12
11	98	12
98	20	12
20	98	12
23	1	6
1	23	6
17	18	19
18	17	19
17	4	6
4	17	6
17	31	11
31	17	11
17	40	16
40	17	16
17	12	10
12	17	10
17	39	6
39	17	6
17	1	6
1	17	6
61	53	12
53	61	12
71	100	8
100	71	8
71	76	9
76	71	9
71	59	16
59	71	16
21	22	31
22	21	31
21	90	8
90	21	8
21	93	9
93	21	9
21	102	6
102	21	6
21	94	6
94	21	6
21	89	15
89	21	15
21	95	8
95	21	8
21	99	8
99	21	8
95	49	6
49	95	6
66	53	9
53	66	9
66	67	9
67	66	9
115	78	8
78	115	8
104	5	25
5	104	25
104	13	23
13	104	23
12	10	9
10	12	9
12	40	12
40	12	12
12	1	6
1	12	6
111	49	6
49	111	6
22	23	14
23	22	14
38	1	10
1	38	10
63	64	6
64	63	6
63	53	13
53	63	13
3	4	39
4	3	39
56	57	6
57	56	6
56	68	6
68	56	6
48	107	14
107	48	14
48	109	6
109	48	6
48	85	7
85	48	7
48	112	6
112	48	6
92	91	7
91	92	7
41	40	12
40	41	12
47	9	6
9	47	6
47	1	8
1	47	8
75	23	7
23	75	7
9	43	15
43	9	15
5	13	72
13	5	72
5	31	22
31	5	22
5	6	7
6	5	7
45	42	8
42	45	8
26	1	11
1	26	11
39	40	23
40	39	23
55	42	6
42	55	6
76	59	16
59	76	16
84	51	17
51	84	17
51	57	15
57	51	15
51	1	6
1	51	6
27	37	15
37	27	15
77	40	18
40	77	18
53	67	50
67	53	50
53	72	7
72	53	7
53	81	9
81	53	9
53	17	6
17	53	6
81	96	8
96	81	8
25	1	11
1	25	11
106	59	7
59	106	7
80	65	8
65	80	8
86	32	6
32	86	6
67	72	7
72	67	7
67	82	7
82	67	7
31	1	9
1	31	9
31	40	16
40	31	16
58	41	8
41	58	8
40	69	6
69	40	6
40	7	8
7	40	8
40	24	9
24	40	9
1	36	13
36	1	13
19	37	8
37	19	8
49	50	13
50	49	13
33	34	6
34	33	6
33	32	8
32	33	8
73	40	6
40	73	6
10	15	8
15	10	8
10	12	7
12	10	7
13	31	17
31	13	17
82	97	7
97	82	7
59	78	11
78	59	11
59	41	6
41	59	6
60	69	6
69	60	6
54	87	6
87	54	6
11	7	13
7	11	13
11	20	25
20	11	25
103	9	6
9	103	6
91	36	10
36	91	10
30	37	8
37	30	8
32	24	9
24	32	9
32	40	22
40	32	22
32	42	7
42	32	7
32	12	7
12	32	7
79	89	9
89	79	9
87	47	15
47	87	15
28	37	7
37	28	7
