32699	21355	6
21355	32699	6
32699	32462	5
32462	32699	5
29400	27668	9
27668	29400	9
29400	18171	11
18171	29400	11
26379	8749	5
8749	26379	5
17851	18956	16
18956	17851	16
21973	17834	6
17834	21973	6
18509	8749	5
8749	18509	5
9076	17834	6
17834	9076	6
18003	17922	7
17922	18003	7
17922	25322	9
25322	17922	9
38434	31938	5
31938	38434	5
8772	9113	5
9113	8772	5
32577	18171	7
18171	32577	7
32578	18171	6
18171	32578	6
32578	31842	5
31842	32578	5
17833	8697	5
8697	17833	5
17833	19344	5
19344	17833	5
18687	8846	17
8846	18687	17
18687	26683	7
26683	18687	7
26325	26327	14
26327	26325	14
4874	15609	9
15609	4874	9
4874	8433	5
8433	4874	5
4874	9113	5
9113	4874	5
4874	4537	14
4537	4874	14
8838	21557	6
21557	8838	6
11180	17301	13
17301	11180	13
11180	17334	19
17334	11180	19
71947	27668	6
27668	71947	6
17963	9047	6
9047	17963	6
19821	18380	5
18380	19821	5
19821	37542	7
37542	19821	7
19821	30660	5
30660	19821	5
18576	8938	9
8938	18576	9
18576	23455	9
23455	18576	9
8745	9166	7
9166	8745	7
8745	9182	13
9182	8745	13
59772	37754	6
37754	59772	6
26162	81350	5
81350	26162	5
26162	39074	6
39074	26162	6
21693	8809	7
8809	21693	7
21693	35770	8
35770	21693	8
20149	9182	6
9182	20149	6
20149	9126	5
9126	20149	5
9142	9113	6
9113	9142	6
79529	33430	5
33430	79529	5
11319	17834	5
17834	11319	5
11319	18123	5
18123	11319	5
34343	31656	5
31656	34343	5
50426	9162	7
9162	50426	7
11320	18122	6
18122	11320	6
52754	9199	11
9199	52754	11
18920	8433	6
8433	18920	6
18920	27034	9
27034	18920	9
18920	58102	5
58102	18920	5
8633	8653	7
8653	8633	7
9162	50426	6
50426	9162	6
9162	4537	18
4537	9162	18
9162	9023	5
9023	9162	5
9162	15609	7
15609	9162	7
9162	9113	5
9113	9162	5
28431	76400	6
76400	28431	6
28431	18167	17
18167	28431	17
34574	17337	9
17337	34574	9
8413	15609	10
15609	8413	10
25154	8513	12
8513	25154	12
25154	8916	12
8916	25154	12
8983	4537	6
4537	8983	6
71537	14470	5
