9162	4537	18
26683	18687	7
8865	13058	7
37754	21557	8
9113	9142	11
9113	9162	5
9113	9182	16
81161	30875	6
9160	8433	5
8518	8809	10
26426	26427	12
19821	37542	7
21743	17834	17
8518	8460	16
32699	21355	6
20209	8983	7
30662	39215	5
39074	26162	6
31938	25322	6
23653	18923	6
32462	21355	7
8513	8389	13
22337	18923	6
15609	21941	15
39766	34558	6
20346	19030	9
8513	8916	25
58066	71939	6
13367	8983	5
43338	17301	6
25644	19030	8
20378	9182	18
8513	25154	12
18028	24411	5
18123	17834	15
30875	58066	16
26162	81350	5
32796	30875	5
34558	17334	5
18590	18031	5
37542	33152	6
32578	18171	6
9076	17834	6
18923	23653	6
18166	9197	8
31938	38434	5
18697	18122	6
63500	20380	8
21355	37542	6
18923	23411	15
8518	9126	7
35307	34558	9
8518	9182	12
20149	9182	6
20149	9126	5
26427	42862	5
8809	4537	6
8809	4406	5
30875	30876	5
18689	24351	5
9046	9047	5
9046	9162	15
18033	21941	6
76400	28431	6
8433	15609	6
26651	18923	6
8838	9113	5
18123	8865	5
20378	8745	5
4537	17834	6
9199	14470	5
20346	18167	16
17833	19344	5
8983	8939	14
38434	31938	5
24351	18689	5
8869	9162	8
31897	18171	5
9160	22041	10
19030	25644	8
17738	9199	5
18923	26651	6
17922	25322	9
18167	21355	5
57201	33303	5
31690	27350	5
22041	9160	10
31656	39583	7
22041	22365	7
18123	18122	6
18003	17922	7
15609	8433	6
15609	8413	10
9199	18086	6
25322	27653	5
18923	8938	6
8553	8360	5
26327	26325	14
8553	8333	72
24303	21081	8
9126	20149	5
8553	9113	17
33303	57201	5
15609	9162	7
39132	21355	12
19047	18689	7
21355	79689	5
26732	8938	6
9199	17738	5
26427	18171	16
11233	9199	8
31843	18171	7
21081	18028	9
30875	31637	15
19047	18028	7
27337	8553	23
18894	9182	6
9162	15609	7
27337	8333	25
18379	39074	5
8938	21985	15
9127	9126	8
9127	9128	6
31637	30875	15
34343	31656	5
17301	43338	6
8938	9117	5
37542	21355	6
8697	17833	5
18167	20346	16
18167	20380	11
31690	26327	10
26327	25322	13
8433	18920	6
25322	26327	13
8940	8938	5
32578	31842	5
8433	4874	5
42961	17334	5
18171	29400	11
18031	18590	5
31637	58066	9
21355	39132	12
33304	33303	9
8938	8940	5
8938	8939	31
22540	8938	9
30875	32796	5
96244	30662	5
25509	8938	8
21557	17923	5
8433	4406	5
30875	71939	11
17834	21973	6
42862	26426	5
42862	26427	5
21941	11167	5
17834	21743	17
31656	25575	7
18920	58102	5
17834	11319	5
13058	33550	7
13058	33546	6
8809	8315	5
8809	8316	6
24351	21347	7
18380	37542	12
34574	17337	9
8333	8360	7
27653	25322	5
23331	8938	6
8919	9117	15
8938	23455	8
8333	8553	72
9126	21858	6
8938	23331	6
8749	26379	5
17334	34558	5
17833	8697	5
52754	9199	11
9162	8869	8
9047	17963	6
9164	4537	10
21070	18687	8
43429	17923	6
30875	33430	14
18687	21070	8
26327	27350	5
18122	17834	5
32577	18171	7
17337	17334	13
8809	9182	16
38007	27379	5
8809	9113	11
8653	8460	8
8809	9166	6
8749	8433	5
18576	8938	9
8333	9113	22
31114	8846	9
26426	42862	5
